Cash,AccountsReceivable,TotalCurrentAssets,OtherCurrentAssets,TotalAssets,AccountsPayable,OperatingRevenue,OperatingCost,SellingExpenses,OperatingProfit,TotalProfit,IncomeTax,NetProfit,Variance
-0.1316405538423137,-0.10728449672896273,-0.12927214864546657,-0.08187408685267757,-0.14539716287059937,-0.12222940962936538,-0.10321818851622046,-0.08940960494105313,-0.13625080406009296,-0.11879188362789131,-0.12023704941121374,-0.13286327478236534,-0.11686744849157976,-0.0633683910726583
-0.18818284504758026,-0.22145618118524277,-0.1702840877526922,-0.08505429737547306,-0.17400347981714834,-0.13985751746356165,-0.12662007426030666,-0.11608435078000696,-0.1278953442723185,-0.12214980186049544,-0.12472872514225623,-0.13987384180251422,-0.12088246938171758,0.09909088319544876
-0.18541504633882272,0.6064351904123809,-0.053446792031677834,-0.0699252077491576,-0.071825641342593,0.03319952581318904,-0.025293615266262996,-0.01690392777553951,-0.05328368708098885,-1.123855531525021,-1.0994726257313736,-0.03773254509880695,-1.2687842712616362,-0.04544303423786056
-0.16178596663279246,-0.09090718615987933,-0.1312156497473911,-0.0662586000584739,-0.12944047500089703,-0.11464244666248315,-0.09786243854240334,-0.09141326142381852,-0.09519316882148898,-0.1273360383192079,-0.12348460099050287,-0.11255286246002423,-0.1240942105211366,-0.03482665099604541
-0.14502573819821196,-0.23773679573199671,-0.1647464501117769,-0.08567378975998903,-0.17674567092898597,-0.13168038929341133,-0.13826511852805576,-0.12754720029160893,-0.12013392490007949,-0.21793966400339618,-0.21844929637777513,-0.18134749948171194,-0.22251296997437342,0.005048285411091988
-0.1582880457644615,-0.16618589450286614,-0.15298048438032827,-0.08295865233790341,-0.15645664544482735,-0.13554468493716734,-0.1364838460665453,-0.1309524078286533,-0.15059799317114814,-0.07805528302604749,-0.08092695019389294,-0.1086703542731539,-0.07539765596295228,-0.0616115580624939
-0.05441009880413403,0.12490959339389071,-0.04882191062120409,-0.07077414815373095,-0.06591329551291847,-0.07674713486730705,-0.028519379344690968,-0.018226805669844456,-0.06057538167649528,-0.06435816200077697,-0.05555562229885799,-0.004207760046617246,-0.06376945444486667,-0.07649861986918415
-0.18907501968431456,-0.12324523131905633,-0.14549108301794728,-0.05917521301986926,-0.14259520344102264,-0.07236969342602825,-0.1102057719004883,-0.09942567719209375,-0.13062699222378854,-0.13241661462030782,-0.12831188750501069,-0.15022912440703964,-0.12327396579610334,0.002571672303229457
0.08286852269079985,-0.2043751338463664,0.007219243813911637,-0.0717348857795386,0.23715962720007702,0.02199067855408835,0.22397049779966596,0.26760246717107206,-0.0274424231501981,-0.17044652470366797,-0.1282514842616936,0.05477950078349953,-0.1581311620178284,-0.06228245484099855
-0.09204873649773054,-0.2604430029897264,-0.15250129885944608,-0.08599569211567011,-0.16707148225596796,-0.12410665757285613,-0.1305181324875757,-0.11841238818496308,-0.13439046942687533,-0.13167668395579793,-0.12162618207677368,-0.14858729309327048,-0.11579965744410763,-0.07296883732725008
0.0310559464842521,-0.30669795986542664,0.0970343137659233,-0.042740951072463736,-0.0018684468783962181,-0.10776920237195256,0.05151978571814018,0.07564893850469472,-0.15290174326991854,-0.13861374241990548,-0.10006318431523634,-0.19154562259199048,-0.08347227228267949,-0.0415192651712378
-0.1996095432335221,-0.25834273513104,-0.17298874329141906,-0.011061886870655761,-0.18185350162566988,-0.13665724869439885,-0.13558572403722202,-0.12488134746516881,-0.14460876055298982,-0.11568749197771132,-0.11670341090479694,-0.13080264717486947,-0.11312023182371099,0.38741378235350343
0.10656917156607441,-0.30669755414525324,-0.041964714001523226,-0.0852513783489337,-0.0638935414081472,-0.1081166623773024,0.035967850210765914,0.03508212970242233,0.08120356221604835,0.09476143870148543,0.09224912506983302,0.15315675323424893,0.08084314577985491,-0.0776215011797522
-0.173885396743822,-0.021307117295488967,-0.09621948530450998,-0.010375602339372177,-0.06646283694351593,-0.05804566936605044,-0.11806372000289657,-0.10580956472751932,-0.1494907295038532,-0.25908654615195875,-0.20398903043225688,-0.16113625224589764,-0.20918545497402305,-0.020861860330178287
-0.1526408464822473,-0.034965280426344184,-0.07682531907152666,-0.07513974386895717,-0.11553449839718812,-0.08598974238792609,-0.1132827194739958,-0.11298398244047436,-0.1286583732052313,-0.051539351635502884,-0.05494756008559834,-0.13060977686461842,-0.04152915914673893,-0.04557313497701272
-0.2109205448584206,-0.23726784700471312,-0.18959691813036145,-0.08553929658812902,-0.17839537051143015,-0.13083680460002062,-0.14043897652357495,-0.12807688516841909,-0.1322652461333019,-0.19826187944280424,-0.19917147361457463,-0.17097686644787266,-0.20192154970823098,-0.006224531876898106
-0.1045389570100425,-0.25844078636492485,-0.1570051911162178,-0.0848841436222947,-0.17323473333643383,-0.1315024164748987,-0.12569876934310792,-0.11848946403802559,-0.07143852617605538,-0.11611453196516568,-0.11751022513468373,-0.1309387467248829,-0.11403278114968643,0.2750609084704682
-0.09508381111635679,-0.14980100639787933,-0.13671664570096342,-0.08168401841785675,-0.15576250446942483,-0.13689058374190766,-0.07472304069028658,-0.06149335261092744,-0.1460887954978514,-0.10214423341872719,-0.10531777749241238,-0.13233952697556112,-0.09965342939047574,-0.037414672882577264
-0.07913420472638436,-0.20513261902477728,-0.13129189434206245,-0.0178106767700899,-0.1594853128589463,-0.12075274103580351,-0.12973838967636522,-0.12354464183822687,-0.10673799281369946,-0.1041806478730379,-0.10707176098985971,-0.1357117509645023,-0.10111316045298929,-0.07594560762040149
-0.14886403883131893,-0.2399554794823481,-0.165618336758282,-0.08597992387986805,-0.18215286473661413,-0.1354914148955738,-0.14502083739314078,-0.13385041222801117,-0.15180088421475768,-0.1327951309287801,-0.13209048363928982,-0.14915119757427883,-0.12783999680016916,0.4818887665317751
-0.08783874604554322,-0.30080181209999096,-0.15001868011747932,-0.08311950559343599,-0.17113605546137253,-0.14275254448180333,-0.13508281753041132,-0.12281623073729848,-0.1470908001499595,-0.11961743821079382,-0.12056256369597992,-0.13673920094916425,-0.11658463704899757,-0.08523819831273384
-0.05003660376172574,-0.23627459032036469,-0.033196143994814686,0.2309854972933452,-0.04755754601672059,-0.09566891766874283,-0.058412388925974584,-0.051794533023290804,-0.09711836599401308,-0.07409255915408144,-0.07829398712639211,-0.07866316140544832,-0.0774562823951208,-0.07616767440989672
-0.17252300260231876,-0.24970914839459815,-0.17739440288653419,-0.08599569211567011,-0.17580803074784113,-0.13077832941254444,-0.13475193139084798,-0.12253560017707271,-0.14334145379874683,-0.1326794682791041,-0.13321818705482888,-0.13292115175140976,-0.13191300553915924,-0.06592914938198689
-0.09942330226168546,-0.07126741975023197,-0.11918449877291361,-0.07781185431554863,-0.11891623902448686,-0.09914241574214111,-0.06378157139041636,-0.049235274692984506,-0.11731607763440616,-0.04510404742843811,-0.026188488695820637,-0.06459103460846628,-0.01942221397275734,-0.0836452793538723
-0.15099169133489218,-0.23943283823100875,-0.15004144127096503,-0.055279839307092564,-0.13979544264867272,-0.1394380094518034,-0.12511074148101742,-0.12906399813871097,0.10980504351337361,-0.13402782968838362,-0.13627347000566672,-0.1226041127650843,-0.137214208284694,-0.04657936839845213
